序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
1,02330,中国上城,0.27,0.075,38.46,0.224,0.32,0.224,0.195,12269680.0,3411790.0
2,00117,天利控股集团,0.49,0.11,28.95,0.425,0.495,0.425,0.38,28000.0,13610.0
3,03633,中裕能源,4.03,0.83,25.94,3.2,4.08,3.12,3.2,237907000.0,880753104.0
4,08023,邝文记,0.35,0.07,25.0,0.255,0.355,0.255,0.28,72000.0,21960.0
5,02617,药捷安康-B,203.0,36.9,22.22,169.0,224.6,169.0,166.1,11045790.0,2284102448.0
6,08059,朝威控股,0.017,0.003,21.43,0.016,0.022,0.016,0.014,27270000.0,487295.0
7,02370,力高健康生活,0.54,0.09,20.0,0.45,0.54,0.445,0.45,181000.0,86510.0
8,02422,润歌互动,0.64,0.1,18.52,0.55,0.68,0.54,0.54,3996000.0,2468920.0
9,07399,南方两倍做空MSTR,35.72,5.36,17.65,32.36,36.0,32.0,30.36,58450.0,1980931.0
10,00401,万嘉集团,0.163,0.024,17.27,0.148,0.176,0.141,0.139,2637384.0,424066.0
11,09399,南方两倍做空MSTR-U,4.58,0.674,17.26,4.58,4.58,4.58,3.906,0.0,
12,02575,轩竹生物-B,33.9,4.9,16.9,28.0,33.96,28.0,29.0,4050657.0,129815297.0
13,01429,天任集团,0.056,0.008,16.67,0.05,0.059,0.048,0.048,1936000.0,99904.0
14,08429,华美乐乐,0.048,0.006,14.29,0.046,0.048,0.04,0.042,65000.0,2965.0
15,07311,南方两倍做空Coinbase,9.53,1.175,14.06,8.685,9.63,8.68,8.355,231930.0,2158003.0
16,01025,嘉艺控股,0.26,0.032,14.04,0.229,0.26,0.219,0.228,10024000.0,2357152.0
17,09311,南方两倍做空Coinbase-U,1.216,0.144,13.43,1.216,1.216,1.216,1.072,0.0,
18,01854,中国万天控股,0.98,0.11,12.64,0.95,1.0,0.95,0.87,110000.0,107000.0
19,00169,万达酒店发展,0.72,0.08,12.5,0.73,0.8,0.7,0.64,54941000.0,40434910.0
20,08311,圆美光电,0.037,0.004,12.12,0.036,0.044,0.035,0.033,1790000.0,77170.0
21,08432,太平洋酒吧,0.037,0.004,12.12,0.037,0.037,0.037,0.033,80000.0,2960.0
22,03683,荣丰亿控股,0.093,0.01,12.05,0.094,0.094,0.093,0.083,65000.0,6110.0
23,08178,中国信息科技,0.56,0.06,12.0,0.485,0.6,0.485,0.5,4962000.0,2722700.0
24,01087,威讯控股,1.56,0.16,11.43,1.42,1.57,1.39,1.4,1352450.0,1937335.0
25,02336,硕奥国际,0.218,0.022,11.22,0.214,0.218,0.213,0.196,340000.0,73090.0
26,09881,容大科技,11.23,1.13,11.19,11.0,11.23,10.2,10.1,206500.0,2235435.0
27,00756,森美控股,0.5,0.05,11.11,0.5,0.5,0.5,0.45,24000.0,12000.0
28,00383,天安卓健,1.05,0.1,10.53,1.03,1.05,1.03,0.95,125000.0,130800.0
29,01693,璋利国际,3.14,0.28,9.79,2.99,3.16,2.99,2.86,18480.0,56619.0
30,00844,广泰国际控股,0.45,0.04,9.76,0.425,0.57,0.425,0.41,3360000.0,1621340.0
31,01759,中油洁能控股,1.14,0.1,9.62,1.03,1.19,1.03,1.04,3000.0,3250.0
32,01372,中国碳中和,1.29,0.11,9.32,1.18,1.34,1.18,1.18,25157000.0,30071500.0
33,02197,三叶草生物-B,2.24,0.19,9.27,2.06,2.35,2.06,2.05,35930070.0,80540797.0
34,00602,佳华百货控股,0.061,0.005,8.93,0.059,0.064,0.058,0.056,535000.0,32412.0
35,08026,朗华国际集团,0.43,0.035,8.86,0.4,0.43,0.385,0.395,288000.0,114000.0
36,07552,南方两倍做空恒生科技,1.372,0.11,8.72,1.266,1.38,1.266,1.262,979365344.0,1308448512.0
37,00527,瑞风新能源,0.75,0.06,8.7,0.7,0.79,0.6,0.69,31908000.0,21280320.0
38,01597,纳泉能源科技,2.5,0.2,8.7,2.35,2.5,2.35,2.3,19000.0,47050.0
39,08148,悟喜生活,0.88,0.07,8.64,0.82,0.89,0.82,0.81,260000.0,222400.0
40,01993,雅仕维,0.76,0.06,8.57,0.76,0.76,0.7,0.7,2000.0,1490.0
41,08143,金威医疗,0.18,0.014,8.43,0.18,0.18,0.18,0.166,110000.0,18500.0
42,08128,中国恒有源集团,0.04,0.003,8.11,0.038,0.04,0.038,0.037,1208000.0,47816.0
43,01463,C-LINK SQ,0.27,0.02,8.0,0.255,0.27,0.25,0.25,40000.0,10160.0
44,00126,佳宁娜,0.162,0.012,8.0,0.162,0.163,0.162,0.15,302000.0,48930.0
45,08019,皓文控股,0.27,0.02,8.0,0.27,0.27,0.27,0.25,20000.0,5400.0
46,00907,高雅光学,0.056,0.004,7.69,0.05,0.059,0.05,0.052,6000000.0,332980.0
47,02153,达丰设备,1.13,0.08,7.62,1.06,1.13,1.03,1.05,190000.0,200760.0
48,00619,南华金融,0.285,0.02,7.55,0.275,0.285,0.275,0.265,12000.0,3380.0
49,09366,南方两倍做空特斯拉-U,1.598,0.108,7.25,1.548,1.598,1.548,1.49,31050.0,49077.0
50,02528,尚晋国际控股,0.24,0.016,7.14,0.224,0.24,0.224,0.224,192000.0,44444.0
51,07366,南方两倍做空特斯拉,12.39,0.81,6.99,11.87,12.48,11.87,11.58,279030.0,3406407.0
52,08460,基地锦标集团,0.063,0.004,6.78,0.059,0.07,0.059,0.059,2620000.0,163580.0
53,08186,曼妠,0.315,0.02,6.78,0.295,0.315,0.295,0.295,15000.0,4625.0
54,01935,嘉宏教育,0.95,0.06,6.74,0.87,0.98,0.87,0.89,52000.0,47780.0
55,00747,渖阳公用发展股份,0.08,0.005,6.67,0.072,0.081,0.072,0.075,180000.0,13510.0
56,00841,木薯资源,0.115,0.007,6.48,0.097,0.115,0.097,0.108,24000.0,2584.0
57,09882,永联丰控股,0.66,0.04,6.45,0.66,0.66,0.66,0.62,10000.0,6600.0
58,00422,越南制造加工出口,0.415,0.025,6.41,0.41,0.415,0.41,0.39,12000.0,4975.0
59,07515,南方两倍做空日经,36.5,2.14,6.23,35.0,36.74,35.0,34.36,183120.0,6580718.0
60,01181,唐宫中国,0.213,0.012,5.97,0.198,0.214,0.193,0.201,946000.0,185272.0
61,01064,中华国际,0.073,0.004,5.8,0.069,0.073,0.069,0.069,230000.0,16450.0
62,01906,博尼控股,0.56,0.03,5.66,0.53,0.56,0.53,0.53,8640000.0,4725800.0
